angle_deg,angle_rad,is_cardinal,p0_z_basis,p1_z_basis,deviation_z,px0_x_basis,expected_x,fidelity,shots,timestamp
0,0.0,True,0.492,0.508,0.008000000000000007,1.0,1.0,1.0,1000,2025-11-15T21:09:13.035367
90,1.5707963267948966,True,0.459,0.541,0.04099999999999998,0.483,6.123233995736766e-17,0.983,1000,2025-11-15T21:09:32.175172
180,3.141592653589793,True,0.491,0.509,0.009000000000000008,0.0,-1.0,1.0,1000,2025-11-15T21:09:50.978978
270,4.71238898038469,True,0.463,0.537,0.03699999999999998,0.49,-1.8369701987210297e-16,0.9900000000000001,1000,2025-11-15T21:10:09.645682
45,0.7853981633974483,False,0.494,0.506,0.006000000000000005,0.862,0.7071067811865476,0.9915533905932737,1000,2025-11-15T21:10:28.538409
135,2.356194490192345,False,0.512,0.488,0.01200000000000001,0.16,-0.7071067811865475,0.9864466094067262,1000,2025-11-15T21:10:47.195035
225,3.9269908169872414,False,0.496,0.504,0.0040000000000000036,0.157,-0.7071067811865477,0.9894466094067261,1000,2025-11-15T21:11:09.441006
315,5.497787143782138,False,0.504,0.496,0.0040000000000000036,0.864,0.7071067811865474,0.9895533905932737,1000,2025-11-15T21:11:28.140738
