angle_deg,angle_rad,is_cardinal,p0_z_basis,p1_z_basis,deviation_z,px0_x_basis,expected_x,fidelity,shots,timestamp
0,0.0,True,0.483,0.517,0.017000000000000015,1.0,1.0,1.0,1000,2025-11-15T21:01:15.020128
90,1.5707963267948966,True,0.51,0.49,0.010000000000000009,0.525,6.123233995736766e-17,0.975,1000,2025-11-15T21:01:34.117547
180,3.141592653589793,True,0.498,0.502,0.0020000000000000018,0.0,-1.0,1.0,1000,2025-11-15T21:01:52.909687
270,4.71238898038469,True,0.533,0.467,0.03300000000000003,0.514,-1.8369701987210297e-16,0.9859999999999999,1000,2025-11-15T21:02:12.720222
45,0.7853981633974483,False,0.48,0.52,0.020000000000000018,0.857,0.7071067811865476,0.9965533905932737,1000,2025-11-15T21:02:31.052271
135,2.356194490192345,False,0.504,0.496,0.0040000000000000036,0.169,-0.7071067811865475,0.9774466094067262,1000,2025-11-15T21:02:49.540627
225,3.9269908169872414,False,0.494,0.506,0.006000000000000005,0.133,-0.7071067811865477,0.9865533905932738,1000,2025-11-15T21:03:08.356410
315,5.497787143782138,False,0.503,0.497,0.0030000000000000027,0.863,0.7071067811865474,0.9905533905932737,1000,2025-11-15T21:03:26.673256
