angle_deg,angle_rad,is_cardinal,p0_z_basis,p1_z_basis,deviation_z,px0_x_basis,expected_x,fidelity,shots,timestamp
0,0.0,True,0.487,0.513,0.013000000000000012,1.0,1.0,1.0,1000,2025-11-15T20:52:26.796718
90,1.5707963267948966,True,0.488,0.512,0.01200000000000001,0.513,6.123233995736766e-17,0.987,1000,2025-11-15T20:52:44.982503
180,3.141592653589793,True,0.517,0.483,0.017000000000000015,0.0,-1.0,1.0,1000,2025-11-15T20:53:03.314792
270,4.71238898038469,True,0.508,0.492,0.008000000000000007,0.504,-1.8369701987210297e-16,0.9959999999999999,1000,2025-11-15T20:53:25.048028
45,0.7853981633974483,False,0.523,0.477,0.02300000000000002,0.836,0.7071067811865476,0.9824466094067262,1000,2025-11-15T20:53:43.198208
135,2.356194490192345,False,0.471,0.529,0.029000000000000026,0.146,-0.7071067811865475,0.9995533905932737,1000,2025-11-15T20:54:01.889494
225,3.9269908169872414,False,0.467,0.533,0.032999999999999974,0.149,-0.7071067811865477,0.9974466094067261,1000,2025-11-15T20:54:20.133904
315,5.497787143782138,False,0.51,0.49,0.010000000000000009,0.839,0.7071067811865474,0.9854466094067262,1000,2025-11-15T20:54:38.191398
